"scenario","contamination","innov_dist","n","bias_teta","mae_teta","bias_lin_teta","mae_lin_teta"
"H0","AO","gaussian",100,0.0114919694903072,0.160893307644742,0.0123631703388232,0.224408065016851
"H0","AO","gaussian",500,-0.00240769605756909,0.0639149007016914,-0.00235404569635705,0.104782012088089
"H0","AO","gaussian",1000,-0.00704962781204416,0.0476846237914669,-0.00591807405868368,0.0808342715806439
"H0","AO","gaussian",5000,-0.000116933862268847,0.0202001132359696,-0.00213037735526712,0.0354405878513687
"H0","AO","t3",100,0.00217626574838425,0.21374668605266,-0.000840255128414981,0.293446664797441
"H0","AO","t3",500,0.000387432344052529,0.0925428268216296,-0.00234677218299301,0.152334510471031
"H0","AO","t3",1000,-0.00161673880257248,0.0619431034817584,-0.00458647956040607,0.11889842986384
"H0","AO","t3",5000,-0.000860895438670177,0.0278656120386391,-0.00181320409264782,0.0552542452382068
"H0","IO","gaussian",100,-0.00179520978172521,0.244817422334278,-0.00972856266515495,0.309732462049032
"H0","IO","gaussian",500,0.00177127846557452,0.0804202859764005,-0.00282187465499335,0.148398777664199
"H0","IO","gaussian",1000,0.000560832126153781,0.053649018290725,-0.00282900698677955,0.111791720995688
"H0","IO","gaussian",5000,-0.000878612550823049,0.0247896396079939,0.00124063319195049,0.0511472674259074
"H0","IO","t3",100,0.0028367704216268,0.299048988447252,-0.0153167092980222,0.396575931720664
"H0","IO","t3",500,0.00105672432645726,0.11861952444159,0.00149461814677106,0.202097334497013
"H0","IO","t3",1000,0.000472443259978534,0.078783340452807,-0.00221348507509456,0.152866791679038
"H0","IO","t3",5000,-0.000831204638213077,0.0338485296667945,0.000278871287634191,0.076331901232831
"H0","RO","gaussian",100,-0.00354143172173464,0.180682993508764,-0.000549506835914277,0.237470745939081
"H0","RO","gaussian",500,0.00182522830459508,0.0708512211384454,0.00156556594260528,0.115196186437979
"H0","RO","gaussian",1000,0.00330533523562505,0.0501541725840603,0.00592289029184753,0.0834695958032104
"H0","RO","gaussian",5000,0.000438462916270508,0.0203085508195848,0.00145172885337573,0.0370556325442644
"H0","RO","t3",100,-0.0124496027757599,0.238706564464205,-0.0142988782302853,0.323901814086727
"H0","RO","t3",500,0.0068385306883764,0.0927459814940466,0.000455460545399152,0.15605681607399
"H0","RO","t3",1000,0.00271547686192742,0.0650165209543976,0.0102757019260272,0.117685719783055
"H0","RO","t3",5000,-0.00137984756050845,0.0291046632185302,-0.000665180504013817,0.0556535702385664
