"iteration","replication","scenario","contamination","percentage_contamination","shift_k","var_scenario","innov_dist","n","loss","bias_teta","bias_lin_teta","sq_error_teta","sq_error_lin_teta","k_rate"
1,1000,"H0","clean",0.1,0.75,"i","gaussian",100,"Welsh",-0.0568447844473831,-0.0447160202543355,0.00323132951886945,0.00199952246738614,0.6394
1,1000,"H0","clean",0.1,0.75,"i","gaussian",500,"Welsh",-0.123033920636842,-0.128119089890754,0.0151373456272728,0.0164145011944351,0.6477
1,1000,"H0","clean",0.1,0.75,"i","gaussian",1000,"Welsh",-0.019842122244531,-0.0358737542600203,0.00039370981516691,0.00128692624470832,0.4924
1,1000,"H0","clean",0.1,0.75,"i","gaussian",5000,"Welsh",-0.0780609801590641,-0.0718265785348705,0.0060935166233938,0.00515905738402592,0.5768
1,1000,"H1","clean",0.1,0.75,"i","gaussian",100,"Welsh",0.0958823620570446,0.222433167764042,0.00919342735363818,0.0494765141215464,0.588
1,1000,"H1","clean",0.1,0.75,"i","gaussian",500,"Welsh",0.0165685751682966,0.0278720802298769,0.000274517683107494,0.000776852856340693,0.482
1,1000,"H1","clean",0.1,0.75,"i","gaussian",1000,"Welsh",0.0708877536376525,0.0895370793373862,0.00502507361579252,0.00801688857626939,0.5663
1,1000,"H1","clean",0.1,0.75,"i","gaussian",5000,"Welsh",0.00532154380621774,0.00807813787898282,2.83188284814944e-05,6.5256311591857e-05,0.51
1,1000,"H2","clean",0.1,0.75,"i","gaussian",100,"Welsh",0.268340448126943,0.316893514526347,0.0720065961009686,0.10042149954886,0.588
1,1000,"H2","clean",0.1,0.75,"i","gaussian",500,"Welsh",-0.0118189566177972,0.0112744453626466,0.000139687735533372,0.000127113118235303,0.5577
1,1000,"H2","clean",0.1,0.75,"i","gaussian",1000,"Welsh",-0.0129066675447507,-0.00537585237953014,0.00016658206711072,2.88997888064999e-05,0.6498
1,1000,"H2","clean",0.1,0.75,"i","gaussian",5000,"Welsh",-0.00693388014565244,0.00268941445229731,4.80786938742731e-05,7.23295009622565e-06,0.5768
1,1000,"H0","AO",0.1,0.75,"i","gaussian",100,"Welsh",0.142291102358519,0.15669933370969,0.0202467578104025,0.0245546811850607,0.6394
1,1000,"H0","AO",0.1,0.75,"i","gaussian",500,"Welsh",0.0281366760608616,0.0622340758832522,0.000791672539753863,0.0038730802010424,0.6089
1,1000,"H0","AO",0.1,0.75,"i","gaussian",1000,"Welsh",0.018104603016749,0.0225765774652974,0.000327776650394078,0.000509701850046576,0.5663
1,1000,"H0","AO",0.1,0.75,"i","gaussian",5000,"Welsh",0.0190050342072348,0.0184624593379389,0.000361191325218166,0.000340862404805047,0.6497
1,1000,"H1","AO",0.1,0.75,"i","gaussian",100,"Welsh",0.163004445573174,0.206745892890564,0.0265704492766178,0.0427438642271165,0.588
1,1000,"H1","AO",0.1,0.75,"i","gaussian",500,"Welsh",0.037339634559808,0.0515567746013468,0.00139424830906001,0.00265810100729408,0.5577
1,1000,"H1","AO",0.1,0.75,"i","gaussian",1000,"Welsh",-0.0625562798605467,-0.0467575933549755,0.00391328814999104,0.00218627253634925,0.4924
1,1000,"H1","AO",0.1,0.75,"i","gaussian",5000,"Welsh",0.0133132005718243,0.0211001816980776,0.000177241309465622,0.000445217667691889,0.6185
1,1000,"H2","AO",0.1,0.75,"i","gaussian",100,"Welsh",-0.498497177901342,-0.498333591338294,0.248499436375602,0.248336368256122,0.588
1,1000,"H2","AO",0.1,0.75,"i","gaussian",500,"Welsh",0.085966942795806,0.0874635625858609,0.00739031525365738,0.0076498747802108,0.482
1,1000,"H2","AO",0.1,0.75,"i","gaussian",1000,"Welsh",-0.0588811035152469,-0.0284465986325232,0.00346698435117322,0.00080920897375987,0.6498
1,1000,"H2","AO",0.1,0.75,"i","gaussian",5000,"Welsh",-0.0103693685263984,0.0114358899964542,0.000107523803636262,0.000130779580011001,0.6497
1,1000,"H0","IO",0.1,0.75,"i","gaussian",100,"Welsh",0.0656919536703457,0.0808362989581949,0.00431543277702685,0.00653450722925866,0.6394
1,1000,"H0","IO",0.1,0.75,"i","gaussian",500,"Welsh",-0.0768322157584456,-0.00926590819994614,0.00590318937835234,8.58570547698292e-05,0.6477
1,1000,"H0","IO",0.1,0.75,"i","gaussian",1000,"Welsh",-0.048438475723904,-0.0907933722606604,0.00234628593045524,0.00824343644646286,0.6498
1,1000,"H0","IO",0.1,0.75,"i","gaussian",5000,"Welsh",0.0268103244294679,0.0300446796849782,0.000718793496013322,0.00090268277737294,0.5768
1,1000,"H1","IO",0.1,0.75,"i","gaussian",100,"Welsh",-0.352692216771897,-0.0863828214218286,0.124391799771475,0.00746199183679552,0.6394
1,1000,"H1","IO",0.1,0.75,"i","gaussian",500,"Welsh",-0.0628546191109714,0.00426852269398614,0.00395070314358529,1.82202859890747e-05,0.6089
1,1000,"H1","IO",0.1,0.75,"i","gaussian",1000,"Welsh",-0.0790898941319996,-0.0411588731291992,0.0062552113538109,0.00169405283726552,0.6498
1,1000,"H1","IO",0.1,0.75,"i","gaussian",5000,"Welsh",-0.000733230623506109,-7.14504312823161e-05,5.37627147247158e-07,5.10516413042897e-09,0.51
1,1000,"H2","IO",0.1,0.75,"i","gaussian",100,"Welsh",0.308509608714204,0.00899971398055821,0.0951781786689912,8.09948517318549e-05,0.588
1,1000,"H2","IO",0.1,0.75,"i","gaussian",500,"Welsh",0.0849866341574097,0.154855507466344,0.0072227279854054,0.023980228192659,0.6477
1,1000,"H2","IO",0.1,0.75,"i","gaussian",1000,"Welsh",0.173681977025333,0.169130137915235,0.0301654291434283,0.0286050035512265,0.6129
1,1000,"H2","IO",0.1,0.75,"i","gaussian",5000,"Welsh",0.0406095607732377,0.0621290347543964,0.00164913642619528,0.00386001695951299,0.5768
1,1000,"H0","clean",0.1,0.75,"i","t3",100,"Welsh",0.11836574291578,0.0563814662694167,0.0140104490960046,0.00317886973868937,0.6394
1,1000,"H0","clean",0.1,0.75,"i","t3",500,"Welsh",-0.00504018163467093,-0.0171430334916233,2.54034309104742e-05,0.000293883597294919,0.6089
1,1000,"H0","clean",0.1,0.75,"i","t3",1000,"Welsh",-0.0465368109601651,-0.0686735181393635,0.00216567477434214,0.00471605209363749,0.5663
1,1000,"H0","clean",0.1,0.75,"i","t3",5000,"Welsh",-0.0207416607000262,-0.0237605237666192,0.00043021648859501,0.000564562489664074,0.5768
1,1000,"H1","clean",0.1,0.75,"i","t3",100,"Welsh",0.569151928163581,0.721694048143825,0.323933917332322,0.520842299126221,0.6394
1,1000,"H1","clean",0.1,0.75,"i","t3",500,"Welsh",-0.0370790904564767,-0.0276923742635153,0.00137485894907958,0.000766867592350607,0.6477
1,1000,"H1","clean",0.1,0.75,"i","t3",1000,"Welsh",-0.0070742945329938,0.0393243835989631,5.00456431395459e-05,0.0015464071454384,0.6498
1,1000,"H1","clean",0.1,0.75,"i","t3",5000,"Welsh",-0.00505886790774113,0.000422516206705026,2.55921445079731e-05,1.78519944928404e-07,0.51
1,1000,"H2","clean",0.1,0.75,"i","t3",100,"Welsh",-0.0561200556236453,0.00884426908073216,0.00314946064320104,7.82210955723949e-05,0.6394
1,1000,"H2","clean",0.1,0.75,"i","t3",500,"Welsh",0.0516464999224011,0.103766698330727,0.00266736095423457,0.0107675276824602,0.6477
1,1000,"H2","clean",0.1,0.75,"i","t3",1000,"Welsh",0.0595250168342509,0.0561654815126886,0.00354322762911785,0.00315456131355217,0.4924
1,1000,"H2","clean",0.1,0.75,"i","t3",5000,"Welsh",0.0287236329109137,0.0364948258400155,0.000825047087600923,0.00133187231309306,0.5768
1,1000,"H0","AO",0.1,0.75,"i","t3",100,"Welsh",0.229161369349352,0.29582219404949,0.05251493320207,0.087510770492254,0.6394
1,1000,"H0","AO",0.1,0.75,"i","t3",500,"Welsh",0.0673200106021894,0.074217819272967,0.00453198382747889,0.0055082846976348,0.482
1,1000,"H0","AO",0.1,0.75,"i","t3",1000,"Welsh",-0.149518205441179,-0.107841451409069,0.0223556937583506,0.0116297786420146,0.5663
1,1000,"H0","AO",0.1,0.75,"i","t3",5000,"Welsh",0.000222959477660297,0.00240177995049676,4.97109286785527e-08,5.76854693060822e-06,0.6185
1,1000,"H1","AO",0.1,0.75,"i","t3",100,"Welsh",-0.191281562311868,-0.204285327911274,0.036588636080469,0.0417324951998167,0.588
1,1000,"H1","AO",0.1,0.75,"i","t3",500,"Welsh",0.105610566928049,0.176687474628021,0.0111535918468638,0.0312184636904277,0.6089
1,1000,"H1","AO",0.1,0.75,"i","t3",1000,"Welsh",-0.0330119439126214,-0.0681439328819853,0.00108978844089006,0.00464359558862451,0.5663
1,1000,"H1","AO",0.1,0.75,"i","t3",5000,"Welsh",-0.0600584176762595,-0.052768362849753,0.00360701353377604,0.00278450011784319,0.5768
1,1000,"H2","AO",0.1,0.75,"i","t3",100,"Welsh",0.0746050295922741,0.286104791657366,0.0055659104404641,0.0818559518093051,0.588
1,1000,"H2","AO",0.1,0.75,"i","t3",500,"Welsh",-0.0153554119930764,0.0464484554829176,0.000235788677477114,0.00215745901674858,0.6477
1,1000,"H2","AO",0.1,0.75,"i","t3",1000,"Welsh",0.0251630367662026,0.0523164353776777,0.000633178419297265,0.00273700941062672,0.5663
1,1000,"H2","AO",0.1,0.75,"i","t3",5000,"Welsh",0.0383181241062144,0.0341021755825638,0.00146827863501925,0.00116295837946401,0.6185
1,1000,"H0","IO",0.1,0.75,"i","t3",100,"Welsh",0.0803137511380947,-0.173456248464391,0.00645029862187182,0.0300870701313404,0.6394
1,1000,"H0","IO",0.1,0.75,"i","t3",500,"Welsh",-0.0648799754195198,-0.044762324701295,0.0042094112104375,0.00200366571266416,0.6089
1,1000,"H0","IO",0.1,0.75,"i","t3",1000,"Welsh",0.00262705746837795,-0.00969766617368327,6.90143094216034e-06,9.40447292162008e-05,0.6129
1,1000,"H0","IO",0.1,0.75,"i","t3",5000,"Welsh",-0.0314903427346251,-0.0288868691625651,0.000991641685544155,0.000834451210015154,0.51
1,1000,"H1","IO",0.1,0.75,"i","t3",100,"Welsh",0.227093382936308,0.276224114536268,0.0515714045734564,0.0762997614513456,0.6394
1,1000,"H1","IO",0.1,0.75,"i","t3",500,"Welsh",0.120190633445751,0.12398650222503,0.0144457883680909,0.0153726527339975,0.6089
1,1000,"H1","IO",0.1,0.75,"i","t3",1000,"Welsh",-0.141713119951001,-0.122548886989944,0.0200826083662468,0.0150182297024742,0.6129
1,1000,"H1","IO",0.1,0.75,"i","t3",5000,"Welsh",0.0303095175645902,0.0476920809283439,0.000918666854998199,0.0022745345832757,0.5768
1,1000,"H2","IO",0.1,0.75,"i","t3",100,"Welsh",0.146728471996663,-0.193124443426261,0.0215292444944754,0.0372970506487031,0.6394
1,1000,"H2","IO",0.1,0.75,"i","t3",500,"Welsh",-0.0318123916999111,0.0219717162627214,0.00101202826566857,0.000482756315529537,0.6477
1,1000,"H2","IO",0.1,0.75,"i","t3",1000,"Welsh",-0.0376604879121074,-0.017928457839282,0.00141831234977799,0.000321429600494912,0.6498
1,1000,"H2","IO",0.1,0.75,"i","t3",5000,"Welsh",0.0638390489565013,0.0716655224332831,0.00407542417167057,0.00513594710563541,0.5768
2,1000,"H0","clean",0.1,0.75,"i","gaussian",100,"Welsh",0.196827539747892,0.203679284681368,0.0387410804032079,0.0414852510083137,0.4515
2,1000,"H0","clean",0.1,0.75,"i","gaussian",500,"Welsh",0.128453911624437,0.129661174157106,0.0165004074116186,0.0168120200837993,0.5577
2,1000,"H0","clean",0.1,0.75,"i","gaussian",1000,"Welsh",0.0607991863303992,0.08033382097317,0.0036965410584386,0.00645352279214933,0.6129
2,1000,"H0","clean",0.1,0.75,"i","gaussian",5000,"Welsh",-0.0192438793644527,-0.0272138020904516,0.00037032689299361,0.000740591024218269,0.5768
2,1000,"H1","clean",0.1,0.75,"i","gaussian",100,"Welsh",0.08652091300686,0.103707531789538,0.00748586838754064,0.010755252149878,0.6394
2,1000,"H1","clean",0.1,0.75,"i","gaussian",500,"Welsh",0.0529828679608861,0.106334985062937,0.00280718429736069,0.011307129048335,0.5577
2,1000,"H1","clean",0.1,0.75,"i","gaussian",1000,"Welsh",-0.0586172377668204,-0.032073011548295,0.00343598056341195,0.00102867806977706,0.5663
2,1000,"H1","clean",0.1,0.75,"i","gaussian",5000,"Welsh",-0.0261065670766491,-0.0222243517622078,0.000681552844527579,0.00049392181125035,0.5768
2,1000,"H2","clean",0.1,0.75,"i","gaussian",100,"Welsh",-0.139774182131394,-0.0703772991535878,0.0195368219905,0.00495296423615359,0.5396
2,1000,"H2","clean",0.1,0.75,"i","gaussian",500,"Welsh",-0.131867336887656,-0.134584445726182,0.0173889945378425,0.0181129730314237,0.482
2,1000,"H2","clean",0.1,0.75,"i","gaussian",1000,"Welsh",-0.066158015940822,-0.0629651190857003,0.00437688307322606,0.00396460622147642,0.5663
2,1000,"H2","clean",0.1,0.75,"i","gaussian",5000,"Welsh",0.0066107568576636,0.0262787253654724,4.37021062311463e-05,0.000690571406833921,0.6185
2,1000,"H0","AO",0.1,0.75,"i","gaussian",100,"Welsh",-0.0982590209499198,-0.0366198400517636,0.00965483519803677,0.00134101268541675,0.6394
2,1000,"H0","AO",0.1,0.75,"i","gaussian",500,"Welsh",0.056347382428552,0.0838198081545727,0.0031750275065495,0.00702576023906936,0.5577
2,1000,"H0","AO",0.1,0.75,"i","gaussian",1000,"Welsh",0.0524999174725154,0.0494204467028063,0.00275624133462093,0.00244238055230491,0.6129
2,1000,"H0","AO",0.1,0.75,"i","gaussian",5000,"Welsh",-0.0104847738229885,-0.0142564694902232,0.000109930482119226,0.000203246922325665,0.5768
2,1000,"H1","AO",0.1,0.75,"i","gaussian",100,"Welsh",-0.156874321537953,-0.0729823767596837,0.0246095527579931,0.00532642731749241,0.6394
2,1000,"H1","AO",0.1,0.75,"i","gaussian",500,"Welsh",-0.0544784974299625,-0.0163787318370675,0.00296790668222643,0.000268262856590567,0.6477
2,1000,"H1","AO",0.1,0.75,"i","gaussian",1000,"Welsh",0.0188703469127652,0.0443402114307656,0.000356089992608108,0.00196605434972499,0.5663
2,1000,"H1","AO",0.1,0.75,"i","gaussian",5000,"Welsh",0.0253455863894227,0.0309267962639511,0.000642398749423689,0.000956466727151937,0.5768
2,1000,"H2","AO",0.1,0.75,"i","gaussian",100,"Welsh",-0.185828636004843,-0.129327225085811,0.0345322819594205,0.0167255311483959,0.5396
2,1000,"H2","AO",0.1,0.75,"i","gaussian",500,"Welsh",-0.19403380443505,-0.126189957644317,0.0376491172635394,0.0159239054102746,0.6477
2,1000,"H2","AO",0.1,0.75,"i","gaussian",1000,"Welsh",0.0410602817129163,0.0719100201112374,0.00168594673434405,0.00517105099239857,0.5663
2,1000,"H2","AO",0.1,0.75,"i","gaussian",5000,"Welsh",0.0255149739181144,0.0343188304936706,0.000651013894042056,0.0011777821264533,0.51
2,1000,"H0","IO",0.1,0.75,"i","gaussian",100,"Welsh",0.0801623338750293,-0.0217568626880346,0.00642599977229168,0.000473361074025994,0.6394
2,1000,"H0","IO",0.1,0.75,"i","gaussian",500,"Welsh",-0.0126674478739455,-0.0610112165531225,0.000160464235639125,0.003722368545292,0.6089
2,1000,"H0","IO",0.1,0.75,"i","gaussian",1000,"Welsh",0.150768007801028,0.143861830390061,0.0227309921762907,0.0206962262431785,0.6129
2,1000,"H0","IO",0.1,0.75,"i","gaussian",5000,"Welsh",0.0311109409601781,0.0305067594250063,0.000967890647427687,0.000930662370615212,0.5768
2,1000,"H1","IO",0.1,0.75,"i","gaussian",100,"Welsh",-0.037077142909322,0.252212373639027,0.00137471452631829,0.0636110814166324,0.6394
2,1000,"H1","IO",0.1,0.75,"i","gaussian",500,"Welsh",-0.0314360716959736,0.0173227389100992,0.00098822660367439,0.000300077283347466,0.6477
2,1000,"H1","IO",0.1,0.75,"i","gaussian",1000,"Welsh",-0.0344239584539239,0.00525328241870393,0.00118500891563748,2.75969761706638e-05,0.6498
2,1000,"H1","IO",0.1,0.75,"i","gaussian",5000,"Welsh",-0.0560132544598289,-0.0491334714708661,0.00313748467518154,0.00241409801877841,0.5768
2,1000,"H2","IO",0.1,0.75,"i","gaussian",100,"Welsh",0.310471001512133,0.0367700884836041,0.0963922427799469,0.00135203940709207,0.6394
2,1000,"H2","IO",0.1,0.75,"i","gaussian",500,"Welsh",-0.125083862839856,-0.148420752014077,0.0156459727429399,0.0220287196284242,0.6477
2,1000,"H2","IO",0.1,0.75,"i","gaussian",1000,"Welsh",-0.061758222410333,-0.017320143218629,0.00381407803528416,0.000299987361113819,0.6498
2,1000,"H2","IO",0.1,0.75,"i","gaussian",5000,"Welsh",-0.00274802551457431,0.0181349804541582,7.55164422875143e-06,0.000328877516072701,0.5768
2,1000,"H0","clean",0.1,0.75,"i","t3",100,"Welsh",0.0129052621705393,-0.0239281240180596,0.000166545791690353,0.000572555119023642,0.6394
2,1000,"H0","clean",0.1,0.75,"i","t3",500,"Welsh",0.13288013496622,0.139251837913141,0.017657130268641,0.0193910743621878,0.6477
2,1000,"H0","clean",0.1,0.75,"i","t3",1000,"Welsh",-0.0857914099417555,-0.102314128618695,0.00736016601979435,0.010468180915003,0.5663
2,1000,"H0","clean",0.1,0.75,"i","t3",5000,"Welsh",0.0263374146196093,0.00679910007066145,0.00069365940884521,4.62277617708686e-05,0.6185
2,1000,"H1","clean",0.1,0.75,"i","t3",100,"Welsh",-0.240986884033071,-0.0979764618657096,0.058074678275969,0.00959938707972284,0.4515
2,1000,"H1","clean",0.1,0.75,"i","t3",500,"Welsh",-0.0932617468339514,-0.0443700567656239,0.00869775342252004,0.00196870193738469,0.6089
2,1000,"H1","clean",0.1,0.75,"i","t3",1000,"Welsh",-0.0480510225325993,-0.0322403547111724,0.00230890076642837,0.00103944047190221,0.4924
2,1000,"H1","clean",0.1,0.75,"i","t3",5000,"Welsh",-0.041374055134843,-0.0295358707494516,0.00171181243830103,0.000872367660928312,0.5768
2,1000,"H2","clean",0.1,0.75,"i","t3",100,"Welsh",-0.0412422327432124,-0.210712155515658,0.0017009217616453,0.0443996124820548,0.3495
2,1000,"H2","clean",0.1,0.75,"i","t3",500,"Welsh",0.0414160050390422,0.042431853642898,0.00171528547339397,0.00180046220357232,0.5577
2,1000,"H2","clean",0.1,0.75,"i","t3",1000,"Welsh",-0.0566182079650604,-0.0455213853076479,0.00320562147317483,0.00207219652032734,0.6498
2,1000,"H2","clean",0.1,0.75,"i","t3",5000,"Welsh",-0.0336343424045718,-0.0191887457927602,0.00113126898898798,0.000368207965099172,0.5768
2,1000,"H0","AO",0.1,0.75,"i","t3",100,"Welsh",-0.178560829816913,-0.114084542445682,0.0318839699449044,0.0130152828250407,0.588
2,1000,"H0","AO",0.1,0.75,"i","t3",500,"Welsh",0.255793190238314,0.237362714695607,0.0654301561722942,0.056341058327668,0.482
2,1000,"H0","AO",0.1,0.75,"i","t3",1000,"Welsh",-0.028466028724826,-0.0271422903834977,0.000810314791362619,0.000736703927262109,0.5663
2,1000,"H0","AO",0.1,0.75,"i","t3",5000,"Welsh",0.0295189270083146,0.040810103604035,0.000871367051722206,0.00166546455617207,0.5768
2,1000,"H1","AO",0.1,0.75,"i","t3",100,"Welsh",0.0800264495729857,0.0160369066212562,0.00640423263125763,0.000257182373978892,0.588
2,1000,"H1","AO",0.1,0.75,"i","t3",500,"Welsh",0.0480432045276188,0.0555331203845715,0.00230814950128261,0.00308392745964731,0.6477
2,1000,"H1","AO",0.1,0.75,"i","t3",1000,"Welsh",-0.041402763594892,0.00894681240531775,0.00171418883329452,8.00454522159476e-05,0.6129
2,1000,"H1","AO",0.1,0.75,"i","t3",5000,"Welsh",-0.00166404862611563,0.00472178764955383,2.76905783007733e-06,2.22952786074791e-05,0.51
2,1000,"H2","AO",0.1,0.75,"i","t3",100,"Welsh",-0.298394176426594,-0.148492674637643,0.0890390845253055,0.022050074421041,0.6394
2,1000,"H2","AO",0.1,0.75,"i","t3",500,"Welsh",0.178411831455828,0.224256642582073,0.0318307816034229,0.0502910417421836,0.6477
2,1000,"H2","AO",0.1,0.75,"i","t3",1000,"Welsh",-0.157637600401661,-0.105393454930408,0.0248496130603939,0.011107780342168,0.6498
2,1000,"H2","AO",0.1,0.75,"i","t3",5000,"Welsh",-0.0119327740213138,0.00171671604856255,0.000142391095843741,2.94711399139221e-06,0.5768
2,1000,"H0","IO",0.1,0.75,"i","t3",100,"Welsh",0.411574875581882,0.0824330508104816,0.169393878210241,0.00679520786592344,0.3495
2,1000,"H0","IO",0.1,0.75,"i","t3",500,"Welsh",-0.0146555590660059,0.0217403213440724,0.000214785411537189,0.000472641572143529,0.6477
2,1000,"H0","IO",0.1,0.75,"i","t3",1000,"Welsh",-0.0398484725529268,-0.0766409971277722,0.00158790076480136,0.00587384244073918,0.6129
2,1000,"H0","IO",0.1,0.75,"i","t3",5000,"Welsh",0.0267013662274782,0.0257444107514865,0.000712962958413912,0.000662774684941252,0.6497
2,1000,"H1","IO",0.1,0.75,"i","t3",100,"Welsh",0.611141689014824,0.447713690034509,0.373494164051892,0.200447548244316,0.6394
2,1000,"H1","IO",0.1,0.75,"i","t3",500,"Welsh",0.0101568573156646,0.00174992853420669,0.000103161750530769,3.06224987483078e-06,0.6477
2,1000,"H1","IO",0.1,0.75,"i","t3",1000,"Welsh",-0.00925334051607962,0.00872118753177475,8.56243107065207e-05,7.60591119643834e-05,0.5663
2,1000,"H1","IO",0.1,0.75,"i","t3",5000,"Welsh",-0.0386320782643115,-0.0144159177887661,0.00149243747101989,0.000207818685692462,0.5768
2,1000,"H2","IO",0.1,0.75,"i","t3",100,"Welsh",-0.380011197056432,-0.19732857379991,0.144408509888262,0.0389385660379065,0.6394
2,1000,"H2","IO",0.1,0.75,"i","t3",500,"Welsh",0.123684785864782,0.127075044717572,0.0152979262544169,0.0161480669899729,0.6477
2,1000,"H2","IO",0.1,0.75,"i","t3",1000,"Welsh",0.138673754146729,0.162296263993462,0.0192304100891473,0.0263400773062355,0.6129
2,1000,"H2","IO",0.1,0.75,"i","t3",5000,"Welsh",-0.0846285236845353,-0.0637725730054209,0.00716198702102396,0.00406694106773174,0.6185
3,1000,"H0","clean",0.1,0.75,"i","gaussian",100,"Welsh",-0.166809210763869,-0.177400705142996,0.0278253127956648,0.0314710101852321,0.6394
3,1000,"H0","clean",0.1,0.75,"i","gaussian",500,"Welsh",-0.0371117213472772,-0.0387223501158919,0.00137727986135795,0.00149942039849771,0.482
3,1000,"H0","clean",0.1,0.75,"i","gaussian",1000,"Welsh",0.00173402342566125,0.0167833188337555,3.00683724074199e-06,0.000281679791075491,0.5663
3,1000,"H0","clean",0.1,0.75,"i","gaussian",5000,"Welsh",-0.00255556913492158,2.18081225823372e-05,6.53093360336384e-06,4.75594210566245e-10,0.5768
3,1000,"H1","clean",0.1,0.75,"i","gaussian",100,"Welsh",-0.284744155003738,-0.214364612795974,0.0810792338087925,0.0459521872191679,0.5396
3,1000,"H1","clean",0.1,0.75,"i","gaussian",500,"Welsh",0.1209791500724,0.151222362191205,0.0146359547522404,0.0228682028266881,0.5577
3,1000,"H1","clean",0.1,0.75,"i","gaussian",1000,"Welsh",-0.0806106552323027,-0.0570701731850812,0.00649807773698117,0.00325700466737516,0.4924
3,1000,"H1","clean",0.1,0.75,"i","gaussian",5000,"Welsh",-0.0343120607747534,-0.0327090463232358,0.00117731751461037,0.00106988171137558,0.51
3,1000,"H2","clean",0.1,0.75,"i","gaussian",100,"Welsh",-0.17550169919668,-0.200707285251906,0.0308008464209219,0.0402834143531901,0.4515
3,1000,"H2","clean",0.1,0.75,"i","gaussian",500,"Welsh",-0.0745132276574189,-0.0409042563633396,0.00555222109592633,0.0016731581886378,0.6477
3,1000,"H2","clean",0.1,0.75,"i","gaussian",1000,"Welsh",-0.0369929548305464,-0.0201263106440479,0.00136847870709484,0.000405068380140716,0.6129
3,1000,"H2","clean",0.1,0.75,"i","gaussian",5000,"Welsh",-0.0158219829921924,-0.00961175286425009,0.000250335145805225,9.23857931234198e-05,0.5768
3,1000,"H0","AO",0.1,0.75,"i","gaussian",100,"Welsh",0.026049537526937,0.16113528494548,0.000678578405367299,0.025964580054461,0.6394
3,1000,"H0","AO",0.1,0.75,"i","gaussian",500,"Welsh",0.0377173705099538,0.0337670797387103,0.00142260003818514,0.00114021567408042,0.6477
3,1000,"H0","AO",0.1,0.75,"i","gaussian",1000,"Welsh",-0.0140856954814072,-0.00486590843492189,0.000198406817194935,2.3677064897044e-05,0.6498
3,1000,"H0","AO",0.1,0.75,"i","gaussian",5000,"Welsh",-0.0156362443824574,-0.0148784743312837,0.00024449213838793,0.000221368998426667,0.6185
3,1000,"H1","AO",0.1,0.75,"i","gaussian",100,"Welsh",-0.103633320377429,-0.148044786898669,0.0107398650924509,0.0219172589278724,0.588
3,1000,"H1","AO",0.1,0.75,"i","gaussian",500,"Welsh",-0.0899427629311471,-0.0816369635466009,0.00808970060368853,0.00666459381710904,0.5577
3,1000,"H1","AO",0.1,0.75,"i","gaussian",1000,"Welsh",-0.0560341095307247,-0.0186533712781108,0.00313982143090125,0.000347948260039048,0.6498
3,1000,"H1","AO",0.1,0.75,"i","gaussian",5000,"Welsh",-0.00995143306582463,-0.00598679988005946,9.90310200635879e-05,3.58417728038799e-05,0.51
3,1000,"H2","AO",0.1,0.75,"i","gaussian",100,"Welsh",-0.0357038473229285,-0.0795963785425217,0.00127476471365899,0.00633558347708441,0.588
3,1000,"H2","AO",0.1,0.75,"i","gaussian",500,"Welsh",-0.10895755846084,-0.0786055519659604,0.0118717495457473,0.00617883279987329,0.6089
3,1000,"H2","AO",0.1,0.75,"i","gaussian",1000,"Welsh",-0.0092833101694329,0.0146167199839684,8.61798477018963e-05,0.00021364850308974,0.5663
