"iteration","replication","scenario","contamination","percentage_contamination","shift_k","innov_dist","n","loss","bias_teta","bias_lin_teta","sq_error_teta","sq_error_lin_teta","k_rate"
1,5,"H0","clean",0.1,2,"gaussian",100,"Welsh",-0.0346769029591574,-0.0307056627134212,0.00120248759883882,0.000942837722670382,0.6394
1,5,"H0","clean",0.1,2,"gaussian",500,"Welsh",-0.0953849911796389,-0.100196167587347,0.00909829654233979,0.0100392719991918,0.6477
1,5,"H1","clean",0.1,2,"gaussian",100,"Welsh",-0.00800275603114864,0.155584901512132,6.40441040940859e-05,0.0242066615785397,0.588
1,5,"H1","clean",0.1,2,"gaussian",500,"Welsh",-0.0709497715890604,-0.00646898110475824,0.00503387008853984,4.18477165337192e-05,0.482
1,5,"H2","clean",0.1,2,"gaussian",100,"Welsh",-0.0654709326971554,0.0918701398245159,0.00428644302823546,0.0084401225913761,0.588
1,5,"H2","clean",0.1,2,"gaussian",500,"Welsh",-0.0667007183938069,0.0098061286339417,0.00444898583424993,9.61601587854113e-05,0.6089
1,5,"H0","AO",0.1,2,"gaussian",100,"Welsh",-0.014538622391743,-0.0376718550498363,0.000211371541049692,0.00141916866289587,0.588
1,5,"H0","AO",0.1,2,"gaussian",500,"Welsh",-0.111596271887986,-0.145286312619004,0.0124537278992973,0.021108112634427,0.6089
1,5,"H1","AO",0.1,2,"gaussian",100,"Welsh",0.0204730112112457,0.112883246659446,0.000419144188055791,0.0127426273763772,0.6394
1,5,"H1","AO",0.1,2,"gaussian",500,"Welsh",-0.0823276684578607,-0.00291707464262703,0.00677784499370743,8.50932447065759e-06,0.5577
1,5,"H2","AO",0.1,2,"gaussian",100,"Welsh",0.0539076682316144,0.203810232764541,0.00290603669416981,0.0415386109795362,0.6394
1,5,"H2","AO",0.1,2,"gaussian",500,"Welsh",-0.049651789177384,0.0476572208968395,0.00246530016851539,0.00227121070361016,0.6477
1,5,"H0","IO",0.1,2,"gaussian",100,"Welsh",0.164619581620366,0.197817786013988,0.0270996066528642,0.0391318764634761,0.6394
1,5,"H0","IO",0.1,2,"gaussian",500,"Welsh",-0.0801533734430062,-0.0432354125478155,0.00642456327429402,0.00186930089817981,0.6089
1,5,"H1","IO",0.1,2,"gaussian",100,"Welsh",-0.345230010808345,-0.0947245900361393,0.11918376036273,0.00897274795751466,0.4515
1,5,"H1","IO",0.1,2,"gaussian",500,"Welsh",0.0173877323279357,0.0527707843413296,0.000302333235507939,0.00278475567999912,0.5577
1,5,"H2","IO",0.1,2,"gaussian",100,"Welsh",0.103823182002184,0.26885658515447,0.0107792531210586,0.0722838633809229,0.588
1,5,"H2","IO",0.1,2,"gaussian",500,"Welsh",-0.0344540130776485,0.0271533708099891,0.00118707901715477,0.00073730554634477,0.6477
1,5,"H0","clean",0.1,2,"t3",100,"Welsh",-0.020631320732678,0.0222061525919706,0.000425651395174628,0.000493113212937883,0.6394
1,5,"H0","clean",0.1,2,"t3",500,"Welsh",-0.00408801697614766,-0.0186649004088547,1.67118827972715e-05,0.000348378507272465,0.6477
1,5,"H1","clean",0.1,2,"t3",100,"Welsh",-0.1309706509828,-0.0901592695693625,0.0171533114188584,0.00812869388928097,0.588
1,5,"H1","clean",0.1,2,"t3",500,"Welsh",-0.0581591430450432,0.000541508620979902,0.0033824859197338,2.93231586595556e-07,0.5577
1,5,"H2","clean",0.1,2,"t3",100,"Welsh",-0.300602532774753,-0.22198097971913,0.0903618827105963,0.0492755553570648,0.6394
1,5,"H2","clean",0.1,2,"t3",500,"Welsh",-0.0302148570976388,0.085856388289927,0.000912937589430735,0.00737131941019072,0.6477
1,5,"H0","AO",0.1,2,"t3",100,"Welsh",0.0981013092834954,0.255273185889556,0.00962386688313602,0.0651643994342037,0.4515
1,5,"H0","AO",0.1,2,"t3",500,"Welsh",0.114916276657304,0.155302938575007,0.013205750640778,0.0241190027300323,0.6089
1,5,"H1","AO",0.1,2,"t3",100,"Welsh",-0.384966076799103,-0.0427576625125188,0.148198880286093,0.00182821770353445,0.5396
1,5,"H1","AO",0.1,2,"t3",500,"Welsh",-0.23646538111992,-0.129930792204458,0.0559158764681892,0.016882010762878,0.5577
1,5,"H2","AO",0.1,2,"t3",100,"Welsh",-0.264097369754738,-0.158709342726414,0.0697474207113709,0.0251886554686505,0.4515
1,5,"H2","AO",0.1,2,"t3",500,"Welsh",-0.283348448629205,-0.178492430914972,0.0802863433405771,0.0318595478939359,0.6477
1,5,"H0","IO",0.1,2,"t3",100,"Welsh",-0.208136030891739,-0.330579407817885,0.0433206073553668,0.109282744873224,0.6394
1,5,"H0","IO",0.1,2,"t3",500,"Welsh",-0.0255603271448114,-0.0253721854222038,0.000653330323749782,0.000643747793098691,0.6477
