"hp_scenario","contamination","innov_dist","var_scenario","n","reps","rate_our","rate_hl","rate_huber","rate_wmw","rate_schmidt"
"H0","AO","gaussian","i",200,1,1,0,0,0,0
"H0","AO","t3","i",200,1,0,0,0,0,0
"H0","IO","gaussian","i",200,1,0,0,0,0,0
"H0","IO","t3","i",200,1,0,0,0,0,0
"H0","RO","gaussian","i",200,1,0,1,1,0,1
"H0","RO","t3","i",200,1,0,0,0,0,0
"H0","clean","gaussian","i",200,1,0,0,0,0,0
"H0","clean","t3","i",200,1,0,0,0,0,0
"H1","AO","gaussian","i",200,1,1,0,0,0,0
"H1","AO","t3","i",200,1,0,1,0,0,0
"H1","IO","gaussian","i",200,1,0,0,0,0,0
"H1","IO","t3","i",200,1,0,0,0,0,0
"H1","RO","gaussian","i",200,1,1,1,1,1,1
"H1","RO","t3","i",200,1,0,0,0,0,0
"H1","clean","gaussian","i",200,1,1,0,0,0,1
"H1","clean","t3","i",200,1,0,0,1,0,1
"H2","AO","gaussian","i",200,1,0,0,0,0,0
"H2","AO","t3","i",200,1,0,0,0,0,0
"H2","IO","gaussian","i",200,1,0,0,0,0,0
"H2","IO","t3","i",200,1,0,0,0,0,0
"H2","RO","gaussian","i",200,1,0,1,1,1,1
"H2","RO","t3","i",200,1,0,0,0,0,0
"H2","clean","gaussian","i",200,1,0,0,0,0,0
"H2","clean","t3","i",200,1,1,1,1,1,1
