date,discharge_cfs,qualifier
1962-07-01,50200,A
1962-07-02,49100,A
1962-07-03,49100,A
1962-07-04,49600,A
1962-07-05,48600,A
1962-07-06,46500,A
1962-07-07,44000,A
1962-07-08,41600,A
1962-07-09,38400,A
1962-07-10,35600,A
1962-07-11,32700,A
1962-07-12,31100,A
1962-07-13,28400,A
1962-07-14,26500,A
1962-07-15,24700,A
1962-07-16,23300,A
1962-07-17,22200,A
1962-07-18,21600,A
1962-07-19,19900,A
1962-07-20,18700,A
1962-07-21,17800,A
1962-07-22,16900,A
1962-07-23,16600,A
1962-07-24,16300,A
1962-07-25,16100,A
1962-07-26,14700,A
1962-07-27,13900,A
1962-07-28,13400,A
1962-07-29,12700,A
1962-07-30,12700,A
1962-07-31,12900,A
1962-08-01,12500,A
1962-08-02,11800,A
1962-08-03,10900,A
1962-08-04,10500,A
1962-08-05,10300,A
1962-08-06,10000,A
1962-08-07,9700,A
1962-08-08,9530,A
1962-08-09,9340,A
1962-08-10,9300,A
1962-08-11,9080,A
1962-08-12,8720,A
1962-08-13,8180,A
1962-08-14,7550,A
1962-08-15,7180,A
1962-08-16,6870,A
1962-08-17,6740,A
1962-08-18,6700,A
1962-08-19,6500,A
1962-08-20,6200,A
1962-08-21,6000,A
1962-08-22,5800,A
1962-08-23,5600,A
1962-08-24,5400,A
1962-08-25,5330,A
1962-08-26,5220,A
1962-08-27,5250,A
1962-08-28,5170,A
1962-08-29,5090,A
1962-08-30,5060,A
1962-08-31,4980,A
1962-09-01,4800,A
1962-09-02,4600,A
1962-09-03,4520,A
1962-09-04,4400,A
1962-09-05,4250,A
1962-09-06,4110,A
1962-09-07,4010,A
1962-09-08,3940,A
1962-09-09,3880,A
1962-09-10,3880,A
1962-09-11,3880,A
1962-09-12,3810,A
1962-09-13,3700,A
1962-09-14,3790,A
1962-09-15,3940,A
1962-09-16,4060,A
1962-09-17,4160,A
1962-09-18,4080,A
1962-09-19,4040,A
1962-09-20,4300,A
1962-09-21,7110,A
1962-09-22,7660,A
1962-09-23,7240,A
1962-09-24,6000,A
1962-09-25,5410,A
1962-09-26,7040,A
1962-09-27,8000,A
1962-09-28,7940,A
1962-09-29,10300,A
1962-09-30,9950,A
1962-10-01,10300,A
1962-10-02,10900,A
1962-10-03,9270,A
1962-10-04,7580,A
1962-10-05,6410,A
1962-10-06,6510,A
1962-10-07,6640,A
1962-10-08,6410,A
1962-10-09,7040,A
1962-10-10,7830,A
1962-10-11,7620,A
1962-10-12,6970,A
1962-10-13,6970,A
1962-10-14,6870,A
1962-10-15,6570,A
1962-10-16,6570,A
1962-10-17,6670,A
1962-10-18,7070,A
1962-10-19,8860,A
1962-10-20,13400,A
1962-10-21,18100,A
1962-10-22,16600,A
1962-10-23,12200,A
1962-10-24,9720,A
1962-10-25,9270,A
1962-10-26,8830,A
1962-10-27,8680,A
1962-10-28,8250,A
1962-10-29,7800,A
1962-10-30,7940,A
1962-10-31,8110,A
1962-11-01,8080,A
1962-11-02,8000,A
1962-11-03,7940,A
1962-11-04,7760,A
1962-11-05,7690,A
1962-11-06,7760,A
1962-11-07,7940,A
1962-11-08,7720,A
1962-11-09,7580,A
1962-11-10,7450,A
1962-11-11,7350,A
1962-11-12,7110,A
1962-11-13,6640,A
1962-11-14,6440,A
1962-11-15,6410,A
1962-11-16,6480,A
1962-11-17,6670,A
1962-11-18,6770,A
1962-11-19,7450,A
1962-11-20,7760,A
1962-11-21,7860,A
1962-11-22,7520,A
1962-11-23,7310,A
1962-11-24,6840,A
1962-11-25,6510,A
1962-11-26,6740,A
1962-11-27,6640,A
1962-11-28,6480,A
1962-11-29,6480,A
1962-11-30,6440,A
1962-12-01,6320,A
1962-12-02,6220,A
1962-12-03,6160,A
1962-12-04,6060,A
1962-12-05,5970,A
1962-12-06,6000,A
1962-12-07,6100,A
1962-12-08,6100,A
1962-12-09,5970,A
1962-12-10,5820,A
1962-12-11,5760,A
1962-12-12,5760,A
1962-12-13,5670,A
1962-12-14,5700,A
1962-12-15,5730,A
1962-12-16,5550,A
1962-12-17,5410,A
1962-12-18,5280,A
1962-12-19,5250,A
1962-12-20,5030,A
1962-12-21,4780,A
1962-12-22,4800,A
1962-12-23,4900,A
1962-12-24,5060,A
1962-12-25,5470,A
1962-12-26,5610,A
1962-12-27,5300,A
1962-12-28,5000,A
1962-12-29,4320,A
1962-12-30,3600,A
1962-12-31,3000,A
1963-01-01,2250,A
1963-01-02,2400,A
1963-01-03,2600,A
1963-01-04,2990,A
1963-01-05,3180,A
1963-01-06,3500,A
1963-01-07,3940,A
1963-01-08,4280,A
1963-01-09,4520,A
1963-01-10,4700,A
1963-01-11,4600,A
1963-01-12,2800,A
1963-01-13,1600,A
1963-01-14,3000,A
1963-01-15,1800,A
1963-01-16,1900,A
1963-01-17,2100,A
1963-01-18,2200,A
1963-01-19,2300,A
1963-01-20,2400,A
1963-01-21,2400,A
1963-01-22,1300,A
1963-01-23,700,A
1963-01-24,700,A
1963-01-25,1400,A
1963-01-26,2100,A
1963-01-27,2600,A
1963-01-28,3200,A
1963-01-29,3650,A
1963-01-30,3880,A
1963-01-31,4180,A
1963-02-01,4520,A
1963-02-02,4850,A
1963-02-03,5060,A
1963-02-04,5410,A
1963-02-05,5470,A
1963-02-06,6250,A
1963-02-07,7010,A
1963-02-08,7240,A
1963-02-09,7550,A
1963-02-10,7520,A
1963-02-11,7480,A
1963-02-12,7550,A
1963-02-13,7620,A
1963-02-14,7620,A
1963-02-15,7580,A
1963-02-16,7380,A
1963-02-17,7310,A
1963-02-18,7110,A
1963-02-19,7040,A
1963-02-20,6940,A
1963-02-21,6740,A
1963-02-22,6410,A
1963-02-23,6440,A
1963-02-24,6440,A
1963-02-25,6440,A
1963-02-26,6380,A
1963-02-27,6350,A
1963-02-28,6250,A
1963-03-01,6130,A
1963-03-02,6000,A
1963-03-03,5940,A
1963-03-04,5970,A
1963-03-05,5970,A
1963-03-06,6000,A
1963-03-07,5970,A
1963-03-08,5850,A
1963-03-09,5790,A
1963-03-10,5700,A
1963-03-11,5530,A
1963-03-12,5440,A
1963-03-13,4470,A
1963-03-14,1300,A
1963-03-15,1260,A
1963-03-16,1220,A
1963-03-17,1260,A
1963-03-18,1210,A
1963-03-19,1080,A
1963-03-20,1050,A
1963-03-21,1060,A
1963-03-22,1060,A
1963-03-23,1050,A
1963-03-24,1050,A
1963-03-25,1060,A
1963-03-26,1050,A
1963-03-27,1050,A
1963-03-28,1040,A
1963-03-29,1050,A
1963-03-30,1030,A
1963-03-31,1040,A
1963-04-01,1030,A
1963-04-02,1030,A
1963-04-03,1030,A
1963-04-04,1030,A
1963-04-05,1040,A
1963-04-06,1020,A
1963-04-07,1020,A
1963-04-08,1030,A
1963-04-09,1020,A
1963-04-10,1020,A
1963-04-11,990,A
1963-04-12,990,A
1963-04-13,1010,A
1963-04-14,1020,A
1963-04-15,1020,A
1963-04-16,1010,A
1963-04-17,980,A
1963-04-18,990,A
1963-04-19,1010,A
1963-04-20,1010,A
1963-04-21,1010,A
1963-04-22,1020,A
1963-04-23,1010,A
1963-04-24,1020,A
1963-04-25,1020,A
1963-04-26,1030,A
1963-04-27,1020,A
1963-04-28,1020,A
1963-04-29,1030,A
1963-04-30,1020,A
1963-05-01,1020,A
1963-05-02,1030,A
1963-05-03,1020,A
1963-05-04,1010,A
1963-05-05,1010,A
1963-05-06,1010,A
1963-05-07,1010,A
1963-05-08,1010,A
1963-05-09,1010,A
1963-05-10,1000,A
1963-05-11,1000,A
1963-05-12,1000,A
1963-05-13,1010,A
1963-05-14,1020,A
1963-05-15,1030,A
1963-05-16,1000,A
1963-05-17,1000,A
1963-05-18,1020,A
1963-05-19,1030,A
1963-05-20,1040,A
1963-05-21,1010,A
1963-05-22,1010,A
1963-05-23,1020,A
1963-05-24,1010,A
1963-05-25,1000,A
1963-05-26,1010,A
1963-05-27,1000,A
1963-05-28,1000,A
1963-05-29,1010,A
1963-05-30,980,A
1963-05-31,990,A
1963-06-01,1000,A
1963-06-02,1010,A
1963-06-03,1550,A
1963-06-04,2470,A
1963-06-05,2500,A
1963-06-06,2470,A
1963-06-07,2450,A
1963-06-08,2450,A
1963-06-09,2440,A
1963-06-10,2450,A
1963-06-11,2470,A
1963-06-12,2480,A
1963-06-13,2540,A
1963-06-14,2550,A
1963-06-15,2550,A
1963-06-16,2550,A
1963-06-17,2520,A
1963-06-18,2500,A
1963-06-19,2500,A
1963-06-20,2500,A
1963-06-21,2500,A
1963-06-22,2480,A
1963-06-23,2500,A
1963-06-24,2500,A
1963-06-25,2480,A
1963-06-26,2480,A
1963-06-27,2480,A
1963-06-28,2480,A
1963-06-29,2480,A
1963-06-30,2470,A
