datetime_utc,datetime_local,load_MW,load_GW,temperature_c,humidity_pct,is_weekend,is_peak_hour,hour,weekday,month
2022-01-01 00:00:00+00:00,2022-01-01 01:00:00+01:00,41957.765,41.957765,11.1,90,1,0,1,5,1
2022-01-01 01:00:00+00:00,2022-01-01 02:00:00+01:00,40887.9675,40.8879675,11.4,90,1,0,2,5,1
2022-01-01 02:00:00+00:00,2022-01-01 03:00:00+01:00,39963.9825,39.9639825,10.8,93,1,0,3,5,1
2022-01-01 03:00:00+00:00,2022-01-01 04:00:00+01:00,39733.485,39.733485,10.1,95,1,0,4,5,1
2022-01-01 04:00:00+00:00,2022-01-01 05:00:00+01:00,39222.915,39.222915,10.0,95,1,0,5,5,1
2022-01-01 05:00:00+00:00,2022-01-01 06:00:00+01:00,38812.07,38.81207,10.1,95,1,0,6,5,1
2022-01-01 06:00:00+00:00,2022-01-01 07:00:00+01:00,39485.5325,39.4855325,9.8,96,1,0,7,5,1
2022-01-01 07:00:00+00:00,2022-01-01 08:00:00+01:00,40711.33,40.711330000000004,9.4,97,1,1,8,5,1
2022-01-01 08:00:00+00:00,2022-01-01 09:00:00+01:00,42931.055,42.931055,9.2,98,1,1,9,5,1
2022-01-01 09:00:00+00:00,2022-01-01 10:00:00+01:00,44824.96,44.82496,9.6,96,1,1,10,5,1
2022-01-01 10:00:00+00:00,2022-01-01 11:00:00+01:00,47201.8825,47.201882499999996,10.6,93,1,1,11,5,1
2022-01-01 11:00:00+00:00,2022-01-01 12:00:00+01:00,47800.065,47.800065000000004,11.1,89,1,1,12,5,1
2022-01-01 12:00:00+00:00,2022-01-01 13:00:00+01:00,46868.5075,46.8685075,11.8,84,1,1,13,5,1
2022-01-01 13:00:00+00:00,2022-01-01 14:00:00+01:00,46193.2875,46.1932875,12.1,84,1,1,14,5,1
2022-01-01 14:00:00+00:00,2022-01-01 15:00:00+01:00,46141.784999999996,46.141785,12.1,85,1,1,15,5,1
2022-01-01 15:00:00+00:00,2022-01-01 16:00:00+01:00,48370.3825,48.3703825,11.8,88,1,1,16,5,1
2022-01-01 16:00:00+00:00,2022-01-01 17:00:00+01:00,52123.06,52.123059999999995,11.2,91,1,1,17,5,1
2022-01-01 17:00:00+00:00,2022-01-01 18:00:00+01:00,53111.445,53.111444999999996,10.5,93,1,1,18,5,1
2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+01:00,52129.7175,52.1297175,9.3,93,1,1,19,5,1
2022-01-01 19:00:00+00:00,2022-01-01 20:00:00+01:00,50173.667499999996,50.17366749999999,8.0,94,1,1,20,5,1
2022-01-01 20:00:00+00:00,2022-01-01 21:00:00+01:00,48523.487499999996,48.523487499999995,7.1,94,1,0,21,5,1
2022-01-01 21:00:00+00:00,2022-01-01 22:00:00+01:00,47953.83,47.95383,6.3,96,1,0,22,5,1
2022-01-01 22:00:00+00:00,2022-01-01 23:00:00+01:00,45324.270000000004,45.324270000000006,7.3,94,1,0,23,5,1
2022-01-01 23:00:00+00:00,2022-01-02 00:00:00+01:00,43097.6875,43.0976875,7.1,96,1,0,0,6,1
2022-01-02 00:00:00+00:00,2022-01-02 01:00:00+01:00,41893.46,41.89346,7.2,97,1,0,1,6,1
2022-01-02 01:00:00+00:00,2022-01-02 02:00:00+01:00,41165.0275,41.165027499999994,6.6,98,1,0,2,6,1
2022-01-02 02:00:00+00:00,2022-01-02 03:00:00+01:00,40933.47,40.93347,6.2,98,1,0,3,6,1
