"iteration","model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rej_lin","stat_lin","pval_lin","break_lin","rej_l2","stat_l2","pval_l2","break_l2"
1,"LMCH",150,"normal","IO",0.05,"H2",0.5,0,3.81623270549118,0.05,0.453333333333333,0,24.7910611548509,0.6,0.68
1,"LMCH",150,"t3","AO",0.05,"H2",0,0,2.40135401516718,0.6,0.286666666666667,0,24.0339420615835,0.65,0.746666666666667
1,"LMCH",150,"t3","IO",0.05,"H2",0.5,0,1.54216203810338,0.8,0.74,0,8.59405737489212,0.65,0.3
1,"LMCH",150,"t3","Clean",0,"H1",0,0,2.41007603631203,0.5,0.493333333333333,0,2.95987884277739,0.35,0.493333333333333
1,"LMCH",150,"t3","AO",0.05,"H1",0,0,2.60077400187411,0.25,0.493333333333333,0,4.37435334311702,1,0.78
1,"LMCH",150,"normal","AO",0.05,"H2",1,0,2.34472701527249,0.6,0.84,0,3.87392970398212,0.75,0.866666666666667
1,"LMCH",150,"t3","Clean",0,"H1",0.5,0,1.86282908599624,0.75,0.74,0,2.75863075261649,0.4,0.74
1,"LMCH",150,"t3","RO",0.05,"H2",0,0,1.50070270644858,0.8,0.406666666666667,0,3.98568364684404,0.5,0.586666666666667
1,"LMCH",150,"t3","Clean",0,"H2",1,0,1.21039323673749,0.95,0.64,0,3.6245213616173,0.2,0.52
1,"LMCH",150,"normal","RO",0.05,"H2",0,1,3.7945857835428,0,0.426666666666667,0,4.74875642093301,0.05,0.693333333333333
1,"LMCH",150,"t3","IO",0.05,"H2",1,0,9.41291003101323,0.75,0.506666666666667,0,18.1893712161594,0.5,0.493333333333333
1,"LMCH",150,"normal","Clean",0,"H2",1,0,1.60035556409732,0.7,0.633333333333333,0,1.49839392583813,0.7,0.633333333333333
1,"LMCH",150,"normal","AO",0.05,"H1",1,0,2.96150839783508,0.4,0.46,0,6.99997009447303,0.4,0.74
1,"LMCH",150,"normal","Clean",0,"H2",0,1,5.3999798569286,0,0.686666666666667,0,5.66048297089893,0.15,0.686666666666667
1,"LMCH",150,"t3","IO",0.05,"H2",0,0,2.13424881372299,0.8,0.766666666666667,0,7.41582771762691,0.8,0.753333333333333
1,"LMCH",150,"normal","AO",0.05,"H1",0.5,0,3.59746151030365,0.55,0.946666666666667,0,17.9010065798461,0.7,0.573333333333333
1,"LMCH",150,"t3","Clean",0,"H1",1,0,3.43113105412668,0.05,0.466666666666667,0,3.81797843060879,0.2,0.34
1,"LMCH",150,"normal","Clean",0,"H1",0,0,4.57226681683857,0.45,0.38,0,9.44249535279369,0.05,0.366666666666667
1,"LMCH",150,"t3","AO",0.05,"H1",0.5,1,4.60451051397453,0,0.5,0,9.43364263419278,0.55,0.593333333333333
1,"LMCH",150,"t3","AO",0.05,"H2",0.5,0,1.85655007272364,0.25,0.653333333333333,0,5.15555807903888,0.55,0.653333333333333
1,"LMCH",150,"normal","AO",0.05,"H1",0,0,4.90880466353216,0.1,0.286666666666667,0,11.8408122839657,0.2,0.113333333333333
1,"LMCH",150,"normal","AO",0.05,"H2",0.5,0,2.50230646981583,0.25,0.82,0,9.78616670145525,0.75,0.353333333333333
1,"LMCH",150,"t3","IO",0.05,"H1",0,0,3.57833170140901,0.6,0.453333333333333,0,13.8000778746296,0.4,0.546666666666667
1,"LMCH",150,"t3","Clean",0,"H2",0,0,2.47975073117142,0.45,0.493333333333333,0,4.01950869760377,0.7,0.66
1,"LMCH",150,"normal","AO",0.05,"H2",0,0,3.52265622377336,0.45,0.646666666666667,0,5.09569495243251,0.35,0.34
1,"LMCH",150,"normal","Clean",0,"H1",0.5,1,4.15726662543873,0,0.72,0,3.65003950317918,0.05,0.566666666666667
1,"LMCH",150,"t3","RO",0.05,"H1",1,0,1.55460740363618,0.8,0.453333333333333,0,4.80495035861073,0.75,0.453333333333333
1,"LMCH",150,"t3","AO",0.05,"H2",1,0,1.50424351157021,0.9,0.266666666666667,0,6.21871090754354,0.4,0.886666666666667
1,"LMCH",150,"normal","IO",0.05,"H1",1,0,12.2598146688822,0.35,0.3,0,17.9612260010383,0.7,0.76
1,"LMCH",150,"normal","IO",0.05,"H1",0.5,0,2.48017259766118,0.75,0.586666666666667,0,13.7326800822548,0.95,0.32
1,"LMCH",150,"normal","RO",0.05,"H2",0.5,0,4.61351712112898,0.5,0.82,0,10.6014877553354,0.4,0.986666666666667
1,"LMCH",150,"t3","Clean",0,"H2",0.5,0,2.20612779874174,0.2,0.4,0,5.09588579772529,0.5,0.58
1,"LMCH",150,"t3","IO",0.05,"H1",0.5,0,5.59041027574317,0.6,0.633333333333333,0,30.4912503874169,0.65,0.933333333333333
1,"LMCH",150,"t3","AO",0.05,"H1",1,0,2.35732533129815,0.25,0.826666666666667,0,3.19557463987391,0.7,0.446666666666667
1,"LMCH",150,"normal","RO",0.05,"H1",0,0,2.9463654346398,0.6,0.82,0,2.48846382979028,0.85,0.82
1,"LMCH",150,"normal","Clean",0,"H1",1,0,1.4837999893802,0.9,0.32,0,1.80296950950859,0.9,0.32
1,"LMCH",150,"t3","RO",0.05,"H2",0.5,0,5.61411232229004,0.3,0.746666666666667,0,7.83210017853223,0.05,0.746666666666667
1,"LMCH",150,"normal","IO",0.05,"H2",1,0,2.68551512771069,0.95,0.92,0,10.5805550075736,0.95,0.94
1,"LMCH",150,"t3","RO",0.05,"H1",0,0,2.01561010265885,0.95,0.68,0,4.60924810137397,0.9,0.46
1,"LMCH",150,"normal","IO",0.05,"H1",0,0,2.12909681254601,0.95,0.886666666666667,0,12.6937545243339,0.4,0.506666666666667
1,"LMCH",150,"normal","RO",0.05,"H2",1,0,3.06642914250969,0.15,0.56,0,4.94225405080886,0.45,0.64
1,"LMCH",150,"t3","RO",0.05,"H1",0.5,0,2.12710179695437,0.75,0.626666666666667,0,9.97679921074909,0.3,0.626666666666667
1,"LMCH",150,"normal","RO",0.05,"H1",1,0,2.74369742128963,0.2,0.733333333333333,0,5.10949832931523,0.1,0.58
1,"LMCH",150,"t3","IO",0.05,"H1",1,0,1.98305759077598,1,0.313333333333333,0,9.29086710155321,1,0.933333333333333
1,"LMCH",150,"normal","RO",0.05,"H1",0.5,0,2.88705402084093,0.65,0.38,0,2.04900259409792,0.9,0.38
1,"LMCH",150,"normal","Clean",0,"H2",0.5,0,3.45937711276755,0.1,0.613333333333333,0,3.54179684026691,0.5,0.586666666666667
1,"LMCH",150,"t3","RO",0.05,"H2",1,0,1.82486357760964,0.9,0.726666666666667,0,4.52938629142589,0.65,0.566666666666667
1,"LMCH",150,"normal","IO",0.05,"H2",0,0,18.3475059982024,0.4,0.646666666666667,0,20.8282421098636,0.6,0.286666666666667
