"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMHC",500,"normal","Clean",0,"H1",0,0.079,0.012,0.5119,0.5215
"LMHC",1000,"normal","Clean",0,"H1",0,0.075,0.012,0.5094,0.5285
"LMHC",5000,"normal","Clean",0,"H1",0,0.067,0.011,0.4966,0.5105
"LMHC",500,"t3","Clean",0,"H1",0,0.061,0.013,0.5116,0.5208
"LMHC",1000,"t3","Clean",0,"H1",0,0.062,0.011,0.5167,0.5396
"LMHC",5000,"t3","Clean",0,"H1",0,0.068,0.025,0.4901,0.5041
"LMHC",500,"normal","AO",0.05,"H1",0,0.067,0.004,0.5118,0.5067
"LMHC",1000,"normal","AO",0.05,"H1",0,0.074,0.008,0.5261,0.5211
"LMHC",5000,"normal","AO",0.05,"H1",0,0.065,0.011,0.5038,0.4837
"LMHC",500,"t3","AO",0.05,"H1",0,0.047,0.002,0.5168,0.5275
"LMHC",1000,"t3","AO",0.05,"H1",0,0.052,0.006,0.5105,0.5179
"LMHC",5000,"t3","AO",0.05,"H1",0,0.057,0.014,0.5006,0.488
"LMHC",500,"normal","IO",0.05,"H1",0,0.02,0.007,0.53,0.5282
"LMHC",1000,"normal","IO",0.05,"H1",0,0.021,0.009,0.5211,0.5193
"LMHC",5000,"normal","IO",0.05,"H1",0,0.028,0.018,0.5106,0.5196
"LMHC",500,"t3","IO",0.05,"H1",0,0.014,0.007,0.5137,0.5121
"LMHC",1000,"t3","IO",0.05,"H1",0,0.012,0.009,0.5082,0.5204
"LMHC",5000,"t3","IO",0.05,"H1",0,0.026,0.024,0.5047,0.5204
"LMHC",500,"normal","RO",0.05,"H1",0,0.077,0.016,0.5123,0.5465
"LMHC",1000,"normal","RO",0.05,"H1",0,0.054,0.01,0.517,0.5424
"LMHC",5000,"normal","RO",0.05,"H1",0,0.071,0.028,0.5116,0.5255
"LMHC",500,"t3","RO",0.05,"H1",0,0.05,0.01,0.5082,0.5433
"LMHC",1000,"t3","RO",0.05,"H1",0,0.058,0.019,0.508,0.5389
"LMHC",5000,"t3","RO",0.05,"H1",0,0.058,0.022,0.5058,0.5289
"LMHC",500,"normal","Clean",0,"H2",0,0.082,0.014,0.5211,0.532
"LMHC",1000,"normal","Clean",0,"H2",0,0.074,0.018,0.5142,0.5251
"LMHC",5000,"normal","Clean",0,"H2",0,0.084,0.018,0.5084,0.5129
"LMHC",500,"t3","Clean",0,"H2",0,0.061,0.011,0.5056,0.5284
"LMHC",1000,"t3","Clean",0,"H2",0,0.075,0.006,0.5118,0.5296
"LMHC",5000,"t3","Clean",0,"H2",0,0.062,0.013,0.4981,0.5145
"LMHC",500,"normal","AO",0.05,"H2",0,0.082,0.005,0.5189,0.5304
"LMHC",1000,"normal","AO",0.05,"H2",0,0.068,0.005,0.5123,0.5115
"LMHC",5000,"normal","AO",0.05,"H2",0,0.068,0.016,0.5033,0.509
"LMHC",500,"t3","AO",0.05,"H2",0,0.054,0.005,0.5128,0.5359
"LMHC",1000,"t3","AO",0.05,"H2",0,0.048,0.004,0.5267,0.5172
"LMHC",5000,"t3","AO",0.05,"H2",0,0.051,0.009,0.4912,0.4927
"LMHC",500,"normal","IO",0.05,"H2",0,0.027,0.006,0.5284,0.5242
"LMHC",1000,"normal","IO",0.05,"H2",0,0.014,0.015,0.516,0.5185
"LMHC",5000,"normal","IO",0.05,"H2",0,0.041,0.019,0.4979,0.5111
"LMHC",500,"t3","IO",0.05,"H2",0,0.014,0.011,0.5191,0.5325
"LMHC",1000,"t3","IO",0.05,"H2",0,0.02,0.015,0.5192,0.5312
"LMHC",5000,"t3","IO",0.05,"H2",0,0.025,0.018,0.5106,0.5202
"LMHC",500,"normal","RO",0.05,"H2",0,0.065,0.009,0.5122,0.5306
"LMHC",1000,"normal","RO",0.05,"H2",0,0.066,0.012,0.5217,0.5354
"LMHC",5000,"normal","RO",0.05,"H2",0,0.07,0.023,0.4964,0.5271
"LMHC",500,"t3","RO",0.05,"H2",0,0.051,0.008,0.5023,0.529
"LMHC",1000,"t3","RO",0.05,"H2",0,0.037,0.009,0.5147,0.532
"LMHC",5000,"t3","RO",0.05,"H2",0,0.063,0.022,0.5105,0.5336
"LMHC",500,"normal","Clean",0,"H1",0.25,0.112,0.017,0.5092,0.5244
"LMHC",1000,"normal","Clean",0,"H1",0.25,0.179,0.036,0.5168,0.5215
"LMHC",5000,"normal","Clean",0,"H1",0.25,0.696,0.424,0.5069,0.5018
"LMHC",500,"t3","Clean",0,"H1",0.25,0.129,0.013,0.5134,0.5263
"LMHC",1000,"t3","Clean",0,"H1",0.25,0.236,0.036,0.5084,0.5246
"LMHC",5000,"t3","Clean",0,"H1",0.25,0.915,0.433,0.5002,0.504
"LMHC",500,"normal","AO",0.05,"H1",0.25,0.096,0.002,0.5095,0.533
"LMHC",1000,"normal","AO",0.05,"H1",0.25,0.141,0.009,0.5196,0.5195
"LMHC",5000,"normal","AO",0.05,"H1",0.25,0.659,0.088,0.5027,0.5014
"LMHC",500,"t3","AO",0.05,"H1",0.25,0.088,0.006,0.5104,0.5263
"LMHC",1000,"t3","AO",0.05,"H1",0.25,0.202,0.007,0.5192,0.5222
"LMHC",5000,"t3","AO",0.05,"H1",0.25,0.912,0.081,0.4979,0.4959
"LMHC",500,"normal","IO",0.05,"H1",0.25,0.028,0.012,0.523,0.5294
"LMHC",1000,"normal","IO",0.05,"H1",0.25,0.057,0.004,0.5078,0.5211
"LMHC",5000,"normal","IO",0.05,"H1",0.25,0.403,0.025,0.5002,0.5224
"LMHC",500,"t3","IO",0.05,"H1",0.25,0.021,0.01,0.5276,0.5255
"LMHC",1000,"t3","IO",0.05,"H1",0.25,0.039,0.01,0.5164,0.5178
"LMHC",5000,"t3","IO",0.05,"H1",0.25,0.579,0.024,0.5018,0.5126
"LMHC",500,"normal","RO",0.05,"H1",0.25,0.085,0.016,0.5104,0.5455
"LMHC",1000,"normal","RO",0.05,"H1",0.25,0.144,0.027,0.5094,0.5302
"LMHC",5000,"normal","RO",0.05,"H1",0.25,0.625,0.222,0.499,0.5146
"LMHC",500,"t3","RO",0.05,"H1",0.25,0.082,0.02,0.5114,0.5467
"LMHC",1000,"t3","RO",0.05,"H1",0.25,0.178,0.021,0.5076,0.5237
