"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMCH",150,"normal","Clean",0,"H1",0,0,0,0.38,0.3667
"LMCH",150,"t3","Clean",0,"H1",0,0,0,0.4933,0.4933
"LMCH",150,"normal","AO",0.05,"H1",0,0,0,0.2867,0.1133
"LMCH",150,"t3","AO",0.05,"H1",0,0,0,0.4933,0.78
"LMCH",150,"normal","IO",0.05,"H1",0,0,0,0.8867,0.5067
"LMCH",150,"t3","IO",0.05,"H1",0,0,0,0.4533,0.5467
"LMCH",150,"normal","RO",0.05,"H1",0,0,0,0.82,0.82
"LMCH",150,"t3","RO",0.05,"H1",0,0,0,0.68,0.46
"LMCH",150,"normal","Clean",0,"H2",0,1,0,0.6867,0.6867
"LMCH",150,"t3","Clean",0,"H2",0,0,0,0.4933,0.66
"LMCH",150,"normal","AO",0.05,"H2",0,0,0,0.6467,0.34
"LMCH",150,"t3","AO",0.05,"H2",0,0,0,0.2867,0.7467
"LMCH",150,"normal","IO",0.05,"H2",0,0,0,0.6467,0.2867
"LMCH",150,"t3","IO",0.05,"H2",0,0,0,0.7667,0.7533
"LMCH",150,"normal","RO",0.05,"H2",0,1,0,0.4267,0.6933
"LMCH",150,"t3","RO",0.05,"H2",0,0,0,0.4067,0.5867
"LMCH",150,"normal","Clean",0,"H1",0.5,1,0,0.72,0.5667
"LMCH",150,"t3","Clean",0,"H1",0.5,0,0,0.74,0.74
"LMCH",150,"normal","AO",0.05,"H1",0.5,0,0,0.9467,0.5733
"LMCH",150,"t3","AO",0.05,"H1",0.5,1,0,0.5,0.5933
"LMCH",150,"normal","IO",0.05,"H1",0.5,0,0,0.5867,0.32
"LMCH",150,"t3","IO",0.05,"H1",0.5,0,0,0.6333,0.9333
"LMCH",150,"normal","RO",0.05,"H1",0.5,0,0,0.38,0.38
"LMCH",150,"t3","RO",0.05,"H1",0.5,0,0,0.6267,0.6267
"LMCH",150,"normal","Clean",0,"H2",0.5,0,0,0.6133,0.5867
"LMCH",150,"t3","Clean",0,"H2",0.5,0,0,0.4,0.58
"LMCH",150,"normal","AO",0.05,"H2",0.5,0,0,0.82,0.3533
"LMCH",150,"t3","AO",0.05,"H2",0.5,0,0,0.6533,0.6533
"LMCH",150,"normal","IO",0.05,"H2",0.5,0,0,0.4533,0.68
"LMCH",150,"t3","IO",0.05,"H2",0.5,0,0,0.74,0.3
"LMCH",150,"normal","RO",0.05,"H2",0.5,0,0,0.82,0.9867
"LMCH",150,"t3","RO",0.05,"H2",0.5,0,0,0.7467,0.7467
"LMCH",150,"normal","Clean",0,"H1",1,0,0,0.32,0.32
"LMCH",150,"t3","Clean",0,"H1",1,0,0,0.4667,0.34
"LMCH",150,"normal","AO",0.05,"H1",1,0,0,0.46,0.74
"LMCH",150,"t3","AO",0.05,"H1",1,0,0,0.8267,0.4467
"LMCH",150,"normal","IO",0.05,"H1",1,0,0,0.3,0.76
"LMCH",150,"t3","IO",0.05,"H1",1,0,0,0.3133,0.9333
"LMCH",150,"normal","RO",0.05,"H1",1,0,0,0.7333,0.58
"LMCH",150,"t3","RO",0.05,"H1",1,0,0,0.4533,0.4533
"LMCH",150,"normal","Clean",0,"H2",1,0,0,0.6333,0.6333
"LMCH",150,"t3","Clean",0,"H2",1,0,0,0.64,0.52
"LMCH",150,"normal","AO",0.05,"H2",1,0,0,0.84,0.8667
"LMCH",150,"t3","AO",0.05,"H2",1,0,0,0.2667,0.8867
"LMCH",150,"normal","IO",0.05,"H2",1,0,0,0.92,0.94
"LMCH",150,"t3","IO",0.05,"H2",1,0,0,0.5067,0.4933
"LMCH",150,"normal","RO",0.05,"H2",1,0,0,0.56,0.64
"LMCH",150,"t3","RO",0.05,"H2",1,0,0,0.7267,0.5667
