"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMUH",500,"normal","Clean",0,"H1",0,0.026,0.007,0.4927,0.5071
"LMUH",1000,"normal","Clean",0,"H1",0,0.031,0.013,0.4888,0.4933
"LMUH",5000,"normal","Clean",0,"H1",0,0.029,0.013,0.4736,0.4749
"LMUH",500,"t3","Clean",0,"H1",0,0.031,0.012,0.4883,0.4948
"LMUH",1000,"t3","Clean",0,"H1",0,0.028,0.006,0.4848,0.5047
"LMUH",5000,"t3","Clean",0,"H1",0,0.03,0.021,0.4689,0.4784
"LMUH",500,"normal","AO",0.05,"H1",0,0.019,0.003,0.5003,0.5118
"LMUH",1000,"normal","AO",0.05,"H1",0,0.028,0.003,0.5022,0.5165
"LMUH",5000,"normal","AO",0.05,"H1",0,0.037,0.009,0.4793,0.4791
"LMUH",500,"t3","AO",0.05,"H1",0,0.026,0.003,0.4935,0.5258
"LMUH",1000,"t3","AO",0.05,"H1",0,0.021,0.004,0.4934,0.5069
"LMUH",5000,"t3","AO",0.05,"H1",0,0.024,0.011,0.4827,0.4812
"LMUH",500,"normal","IO",0.05,"H1",0,0.013,0.006,0.5226,0.508
"LMUH",1000,"normal","IO",0.05,"H1",0,0.013,0.006,0.5152,0.4971
"LMUH",5000,"normal","IO",0.05,"H1",0,0.012,0.009,0.4943,0.4957
"LMUH",500,"t3","IO",0.05,"H1",0,0.012,0.006,0.5118,0.4998
"LMUH",1000,"t3","IO",0.05,"H1",0,0.006,0.006,0.5059,0.4889
"LMUH",5000,"t3","IO",0.05,"H1",0,0.01,0.014,0.484,0.4928
"LMUH",500,"normal","RO",0.05,"H1",0,0.03,0.006,0.4991,0.5424
"LMUH",1000,"normal","RO",0.05,"H1",0,0.023,0.007,0.5015,0.54
"LMUH",5000,"normal","RO",0.05,"H1",0,0.024,0.027,0.4893,0.5333
"LMUH",500,"t3","RO",0.05,"H1",0,0.035,0.006,0.4983,0.5359
"LMUH",1000,"t3","RO",0.05,"H1",0,0.023,0.011,0.4929,0.5463
"LMUH",5000,"t3","RO",0.05,"H1",0,0.023,0.026,0.477,0.529
"LMUH",500,"normal","Clean",0,"H2",0,0.029,0.008,0.5001,0.504
"LMUH",1000,"normal","Clean",0,"H2",0,0.036,0.007,0.4912,0.508
"LMUH",5000,"normal","Clean",0,"H2",0,0.036,0.013,0.4857,0.4847
"LMUH",500,"t3","Clean",0,"H2",0,0.03,0.006,0.4893,0.4997
"LMUH",1000,"t3","Clean",0,"H2",0,0.027,0.007,0.5064,0.5118
"LMUH",5000,"t3","Clean",0,"H2",0,0.029,0.014,0.4853,0.4861
"LMUH",500,"normal","AO",0.05,"H2",0,0.027,0.005,0.4978,0.5232
"LMUH",1000,"normal","AO",0.05,"H2",0,0.026,0.006,0.4981,0.5016
"LMUH",5000,"normal","AO",0.05,"H2",0,0.027,0.014,0.4971,0.4959
"LMUH",500,"t3","AO",0.05,"H2",0,0.012,0.003,0.497,0.5366
"LMUH",1000,"t3","AO",0.05,"H2",0,0.025,0.002,0.4897,0.5093
"LMUH",5000,"t3","AO",0.05,"H2",0,0.023,0.007,0.4661,0.4878
"LMUH",500,"normal","IO",0.05,"H2",0,0.014,0.005,0.5188,0.5132
"LMUH",1000,"normal","IO",0.05,"H2",0,0.008,0.007,0.5077,0.499
"LMUH",5000,"normal","IO",0.05,"H2",0,0.019,0.012,0.4772,0.4905
"LMUH",500,"t3","IO",0.05,"H2",0,0.014,0.005,0.5179,0.515
"LMUH",1000,"t3","IO",0.05,"H2",0,0.011,0.007,0.5055,0.5058
"LMUH",5000,"t3","IO",0.05,"H2",0,0.015,0.007,0.5026,0.4861
"LMUH",500,"normal","RO",0.05,"H2",0,0.035,0.013,0.5043,0.5363
"LMUH",1000,"normal","RO",0.05,"H2",0,0.024,0.012,0.4967,0.535
"LMUH",5000,"normal","RO",0.05,"H2",0,0.038,0.019,0.4846,0.5255
"LMUH",500,"t3","RO",0.05,"H2",0,0.029,0.007,0.4906,0.5247
"LMUH",1000,"t3","RO",0.05,"H2",0,0.025,0.01,0.4966,0.536
"LMUH",5000,"t3","RO",0.05,"H2",0,0.036,0.025,0.4808,0.5292
"LMUH",500,"normal","Clean",0,"H1",0.25,0.078,0.023,0.5038,0.5198
"LMUH",1000,"normal","Clean",0,"H1",0.25,0.215,0.101,0.5111,0.5138
"LMUH",5000,"normal","Clean",0,"H1",0.25,0.99,0.99,0.5011,0.5009
"LMUH",500,"t3","Clean",0,"H1",0.25,0.141,0.018,0.5048,0.506
"LMUH",1000,"t3","Clean",0,"H1",0.25,0.39,0.125,0.509,0.5079
"LMUH",5000,"t3","Clean",0,"H1",0.25,1,0.97,0.5013,0.5023
"LMUH",500,"normal","AO",0.05,"H1",0.25,0.068,0.001,0.5051,0.5203
"LMUH",1000,"normal","AO",0.05,"H1",0.25,0.191,0.006,0.5117,0.5101
"LMUH",5000,"normal","AO",0.05,"H1",0.25,0.986,0.112,0.4998,0.5001
"LMUH",500,"t3","AO",0.05,"H1",0.25,0.098,0.001,0.4996,0.514
"LMUH",1000,"t3","AO",0.05,"H1",0.25,0.318,0.004,0.5098,0.5169
"LMUH",5000,"t3","AO",0.05,"H1",0.25,1,0.104,0.5004,0.4972
"LMUH",500,"normal","IO",0.05,"H1",0.25,0.017,0.01,0.5197,0.5129
"LMUH",1000,"normal","IO",0.05,"H1",0.25,0.041,0.002,0.5037,0.4929
"LMUH",5000,"normal","IO",0.05,"H1",0.25,0.814,0.046,0.4986,0.5068
"LMUH",500,"t3","IO",0.05,"H1",0.25,0.018,0.009,0.5221,0.5095
"LMUH",1000,"t3","IO",0.05,"H1",0.25,0.061,0.009,0.5105,0.4976
"LMUH",5000,"t3","IO",0.05,"H1",0.25,0.948,0.036,0.4996,0.4895
"LMUH",500,"normal","RO",0.05,"H1",0.25,0.055,0.011,0.5108,0.5434
"LMUH",1000,"normal","RO",0.05,"H1",0.25,0.155,0.024,0.5021,0.5308
"LMUH",5000,"normal","RO",0.05,"H1",0.25,0.973,0.383,0.5031,0.506
"LMUH",500,"t3","RO",0.05,"H1",0.25,0.077,0.018,0.5146,0.5382
"LMUH",1000,"t3","RO",0.05,"H1",0.25,0.253,0.015,0.5028,0.5202
"LMUH",5000,"t3","RO",0.05,"H1",0.25,1,0.405,0.5017,0.5079
"LMUH",500,"normal","Clean",0,"H2",0.25,0.041,0.009,0.505,0.5214
"LMUH",1000,"normal","Clean",0,"H2",0.25,0.078,0.037,0.5064,0.5069
"LMUH",5000,"normal","Clean",0,"H2",0.25,0.595,0.482,0.5064,0.5071
"LMUH",500,"t3","Clean",0,"H2",0.25,0.048,0.017,0.509,0.5205
"LMUH",1000,"t3","Clean",0,"H2",0.25,0.106,0.026,0.5086,0.5063
"LMUH",5000,"t3","Clean",0,"H2",0.25,0.853,0.516,0.5068,0.5033
"LMUH",500,"normal","AO",0.05,"H2",0.25,0.037,0.005,0.504,0.5206
"LMUH",1000,"normal","AO",0.05,"H2",0.25,0.068,0.006,0.4996,0.5098
"LMUH",5000,"normal","AO",0.05,"H2",0.25,0.585,0.036,0.5106,0.5121
"LMUH",500,"t3","AO",0.05,"H2",0.25,0.048,0.007,0.5182,0.5217
"LMUH",1000,"t3","AO",0.05,"H2",0.25,0.076,0.006,0.5075,0.5135
"LMUH",5000,"t3","AO",0.05,"H2",0.25,0.811,0.041,0.5177,0.481
"LMUH",500,"normal","IO",0.05,"H2",0.25,0.012,0.003,0.5071,0.5058
"LMUH",1000,"normal","IO",0.05,"H2",0.25,0.015,0.003,0.5092,0.507
"LMUH",5000,"normal","IO",0.05,"H2",0.25,0.27,0.017,0.5088,0.4989
"LMUH",500,"t3","IO",0.05,"H2",0.25,0.015,0.005,0.5168,0.5012
"LMUH",1000,"t3","IO",0.05,"H2",0.25,0.018,0.004,0.5212,0.5134
"LMUH",5000,"t3","IO",0.05,"H2",0.25,0.419,0.02,0.5134,0.492
"LMUH",500,"normal","RO",0.05,"H2",0.25,0.041,0.004,0.5069,0.5361
"LMUH",1000,"normal","RO",0.05,"H2",0.25,0.05,0.018,0.5112,0.5444
"LMUH",5000,"normal","RO",0.05,"H2",0.25,0.517,0.071,0.505,0.5151
"LMUH",500,"t3","RO",0.05,"H2",0.25,0.047,0.01,0.5025,0.537
"LMUH",1000,"t3","RO",0.05,"H2",0.25,0.073,0.011,0.5157,0.5315
"LMUH",5000,"t3","RO",0.05,"H2",0.25,0.771,0.075,0.5123,0.5347
"LMUH",500,"normal","Clean",0,"H1",0.5,0.413,0.204,0.5034,0.4987
"LMUH",1000,"normal","Clean",0,"H1",0.5,0.84,0.693,0.5043,0.5052
"LMUH",5000,"normal","Clean",0,"H1",0.5,1,1,0.5009,0.5005
"LMUH",500,"t3","Clean",0,"H1",0.5,0.626,0.207,0.5126,0.5122
"LMUH",1000,"t3","Clean",0,"H1",0.5,0.967,0.717,0.5043,0.5024
"LMUH",5000,"t3","Clean",0,"H1",0.5,1,0.999,0.5011,0.5004
"LMUH",500,"normal","AO",0.05,"H1",0.5,0.316,0.006,0.5065,0.532
"LMUH",1000,"normal","AO",0.05,"H1",0.5,0.82,0.032,0.5078,0.5089
"LMUH",5000,"normal","AO",0.05,"H1",0.5,1,0.688,0.5008,0.5026
"LMUH",500,"t3","AO",0.05,"H1",0.5,0.531,0.007,0.5126,0.5098
