"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMHC",500,"normal","Clean",0,"H1",0,0.067,0.024,0.5313,0.5445
"LMHC",1000,"normal","Clean",0,"H1",0,0.056,0.023,0.5276,0.5364
"LMHC",5000,"normal","Clean",0,"H1",0,0.074,0.033,0.5063,0.5266
"LMHC",500,"t3","Clean",0,"H1",0,0.071,0.018,0.5254,0.5405
"LMHC",1000,"t3","Clean",0,"H1",0,0.061,0.016,0.515,0.5327
"LMHC",5000,"t3","Clean",0,"H1",0,0.076,0.038,0.5066,0.5119
"LMHC",500,"normal","AO",0.05,"H1",0,0.051,0.008,0.536,0.5397
"LMHC",1000,"normal","AO",0.05,"H1",0,0.057,0.013,0.5257,0.5355
"LMHC",5000,"normal","AO",0.05,"H1",0,0.064,0.024,0.5131,0.5014
"LMHC",500,"t3","AO",0.05,"H1",0,0.049,0.012,0.5399,0.5537
"LMHC",1000,"t3","AO",0.05,"H1",0,0.065,0.013,0.5256,0.5387
"LMHC",5000,"t3","AO",0.05,"H1",0,0.065,0.031,0.5011,0.5071
"LMHC",500,"normal","IO",0.05,"H1",0,0.03,0.01,0.5391,0.5506
"LMHC",1000,"normal","IO",0.05,"H1",0,0.047,0.023,0.5302,0.5285
"LMHC",5000,"normal","IO",0.05,"H1",0,0.046,0.038,0.5205,0.5292
"LMHC",500,"t3","IO",0.05,"H1",0,0.044,0.011,0.5292,0.5444
"LMHC",1000,"t3","IO",0.05,"H1",0,0.06,0.021,0.5257,0.532
"LMHC",5000,"t3","IO",0.05,"H1",0,0.054,0.034,0.5129,0.5292
"LMHC",500,"normal","RO",0.05,"H1",0,0.053,0.015,0.5415,0.5611
"LMHC",1000,"normal","RO",0.05,"H1",0,0.051,0.022,0.5218,0.5488
"LMHC",5000,"normal","RO",0.05,"H1",0,0.063,0.043,0.5227,0.5324
"LMHC",500,"t3","RO",0.05,"H1",0,0.043,0.01,0.5194,0.5601
"LMHC",1000,"t3","RO",0.05,"H1",0,0.059,0.016,0.5262,0.5504
"LMHC",5000,"t3","RO",0.05,"H1",0,0.083,0.042,0.5149,0.5343
"LMHC",500,"normal","Clean",0,"H2",0,0.051,0.023,0.5278,0.5478
"LMHC",1000,"normal","Clean",0,"H2",0,0.064,0.027,0.5276,0.5331
"LMHC",5000,"normal","Clean",0,"H2",0,0.086,0.045,0.5144,0.5187
"LMHC",500,"t3","Clean",0,"H2",0,0.048,0.011,0.5222,0.5391
"LMHC",1000,"t3","Clean",0,"H2",0,0.054,0.02,0.5242,0.537
"LMHC",5000,"t3","Clean",0,"H2",0,0.071,0.029,0.5174,0.52
"LMHC",500,"normal","AO",0.05,"H2",0,0.059,0.009,0.5281,0.5616
"LMHC",1000,"normal","AO",0.05,"H2",0,0.051,0.019,0.5228,0.5339
"LMHC",5000,"normal","AO",0.05,"H2",0,0.074,0.033,0.515,0.5164
"LMHC",500,"t3","AO",0.05,"H2",0,0.062,0.012,0.5158,0.539
"LMHC",1000,"t3","AO",0.05,"H2",0,0.052,0.019,0.5284,0.5325
"LMHC",5000,"t3","AO",0.05,"H2",0,0.07,0.029,0.5075,0.5095
"LMHC",500,"normal","IO",0.05,"H2",0,0.044,0.007,0.531,0.5404
"LMHC",1000,"normal","IO",0.05,"H2",0,0.047,0.018,0.5195,0.5392
"LMHC",5000,"normal","IO",0.05,"H2",0,0.061,0.039,0.5072,0.5214
"LMHC",500,"t3","IO",0.05,"H2",0,0.031,0.016,0.534,0.5504
"LMHC",1000,"t3","IO",0.05,"H2",0,0.041,0.017,0.5363,0.5343
"LMHC",5000,"t3","IO",0.05,"H2",0,0.056,0.029,0.5146,0.5201
"LMHC",500,"normal","RO",0.05,"H2",0,0.055,0.019,0.5317,0.5573
"LMHC",1000,"normal","RO",0.05,"H2",0,0.059,0.017,0.5247,0.546
"LMHC",5000,"normal","RO",0.05,"H2",0,0.085,0.035,0.5173,0.5295
"LMHC",500,"t3","RO",0.05,"H2",0,0.057,0.016,0.5295,0.5604
"LMHC",1000,"t3","RO",0.05,"H2",0,0.055,0.016,0.5182,0.5414
"LMHC",5000,"t3","RO",0.05,"H2",0,0.082,0.036,0.5116,0.5344
"LMHC",500,"normal","Clean",0,"H1",0.25,0.083,0.031,0.532,0.5414
"LMHC",1000,"normal","Clean",0,"H1",0.25,0.151,0.074,0.5244,0.5311
"LMHC",5000,"normal","Clean",0,"H1",0.25,0.749,0.604,0.5123,0.5108
"LMHC",500,"t3","Clean",0,"H1",0.25,0.103,0.032,0.5303,0.5365
"LMHC",1000,"t3","Clean",0,"H1",0.25,0.254,0.062,0.5193,0.5301
"LMHC",5000,"t3","Clean",0,"H1",0.25,0.951,0.622,0.5035,0.5109
"LMHC",500,"normal","AO",0.05,"H1",0.25,0.071,0.016,0.5346,0.55
"LMHC",1000,"normal","AO",0.05,"H1",0.25,0.151,0.033,0.5278,0.5387
"LMHC",5000,"normal","AO",0.05,"H1",0.25,0.729,0.188,0.5063,0.5153
"LMHC",500,"t3","AO",0.05,"H1",0.25,0.08,0.012,0.5212,0.548
"LMHC",1000,"t3","AO",0.05,"H1",0.25,0.25,0.027,0.5289,0.5359
"LMHC",5000,"t3","AO",0.05,"H1",0.25,0.948,0.162,0.5037,0.5135
"LMHC",500,"normal","IO",0.05,"H1",0.25,0.055,0.004,0.5331,0.547
"LMHC",1000,"normal","IO",0.05,"H1",0.25,0.081,0.009,0.5178,0.5456
"LMHC",5000,"normal","IO",0.05,"H1",0.25,0.549,0.039,0.5092,0.5291
"LMHC",500,"t3","IO",0.05,"H1",0.25,0.059,0.007,0.5346,0.5558
"LMHC",1000,"t3","IO",0.05,"H1",0.25,0.126,0.019,0.5281,0.5327
"LMHC",5000,"t3","IO",0.05,"H1",0.25,0.838,0.038,0.504,0.5184
